timestamp,function_name,execution_time_sec,task_type
2026-05-19 17:25:11.095486,extract_geotiff_metadata_local,2.628179599996656,Spark (Distributed)
2026-05-19 17:25:11.324569,clean_data,0.025239899987354875,Spark (Distributed)
2026-05-19 17:25:11.353914,calculate_ndvi,0.027380900020943955,Spark (Distributed)
2026-05-19 17:25:11.398289,engineer_features,0.02963929998804815,Spark (Distributed)
2026-05-19 17:26:39.255358,extract_geotiff_metadata_local,2.502783300005831,Spark (Distributed)
2026-05-19 17:26:39.463545,clean_data,0.021032299991929904,Spark (Distributed)
2026-05-19 17:26:39.493433,calculate_ndvi,0.029050800018012524,Spark (Distributed)
2026-05-19 17:26:39.538165,engineer_features,0.02739639999344945,Spark (Distributed)
2026-05-19 17:27:06.476889,extract_geotiff_metadata_local,2.457600099995034,Spark (Distributed)
2026-05-19 17:27:06.693055,clean_data,0.02068489999510348,Spark (Distributed)
2026-05-19 17:27:06.719507,calculate_ndvi,0.024623900011647493,Spark (Distributed)
2026-05-19 17:27:06.763026,engineer_features,0.027804699988337234,Spark (Distributed)
2026-05-19 17:27:07.049683,load_to_parquet,0.285594899993157,Spark (Distributed)
2026-05-19 17:27:07.116128,load_to_csv_local,0.0638835999998264,Spark (Distributed)
2026-05-19 17:27:07.637498,run_pipeline,8.038536799984286,Spark (Distributed)
2026-05-19 17:29:29.787005,train_ensemble_classifier,0.3657547000038903,Spark (Distributed)
2026-05-19 17:29:29.895607,train_yield_regressor,0.10546699998667464,Spark (Distributed)
