field_id,mean_red,mean_nir,status_label,temperature,soil_moisture,NDVI,yield_tons_ha,stress_index,moisture_temp_interaction
field_10_healthy.tif,0.10017360746860504,0.7506368160247803,healthy,28.2692838989717,0.217826434092945,0.7645218992971273,8.227022113826074,32.6993265548914,6.1577973060741105
field_1_healthy.tif,0.10001860558986664,0.7497990131378174,healthy,21.302080277741457,0.36138694712526953,0.7646115891015091,7.740232430236307,24.637745487402324,7.698293758990399
field_2_stressed.tif,0.2001771330833435,0.49999433755874634,stressed,23.534434854979562,0.2520300627228428,0.4282053936279388,5.95390108062219,44.555461074214094,5.931385092647156
field_3_critical.tif,0.32504966855049133,0.2999878525733948,critical,25.666269006359865,0.4656164657625912,-0.04009649777675375,0.09400501361913588,428.46024111758476,11.950637464053214
field_4_healthy.tif,0.09996198862791061,0.7500816583633423,healthy,21.583387536695557,0.19041460472590732,0.7648073888775826,8.806670980568537,24.957450426861218,4.109792206445959
field_5_stressed.tif,0.20012131333351135,0.5000042915344238,stressed,31.405662814693827,0.14129129325512776,0.4283273913031727,4.574435019668144,59.443563463988866,4.437346714622567
field_6_critical.tif,0.3250681161880493,0.300004780292511,critical,28.05997655135098,0.45169977510752524,-0.040096660142664164,-0.10793399220063826,468.42090304443553,12.67468509776767
field_7_healthy.tif,0.09998536109924316,0.7501760721206665,healthy,34.787495466964465,0.16140141640823838,0.7647849902000786,8.19993940512462,40.226756779064765,5.6147510416632365
field_8_stressed.tif,0.19997547566890717,0.5003945827484131,stressed,27.859961736668378,0.4221012082496647,0.4289433838290461,4.447432765467836,52.67097120109301,11.75972351083715
field_9_critical.tif,0.3249441981315613,0.30005738139152527,critical,30.502156045058214,0.20937667598076934,-0.03981880551540058,1.3580794000500709,506.83866125096307,6.386440042961018
